RecordNumber,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Cannabis,Nicotine,Amphet,Amyl,Benzos,Cocaine,Crack,Ecstasy,Heroin,Ketamine,LSD,Meth,Mushrooms,Semeron,VolatileSubstance
6,2.59171,0,-1.22751,0.24923,-0.31685,-0.67825,-0.30033,-1.55521,2.03972,1.63088,-1.37983,-1.54858,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.09449,1,1.16365,-0.57009,-0.31685,-0.46725,-1.09207,-0.45174,-0.30172,0.93949,-0.21712,0.07987,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.49788,1,-1.7379,0.96082,-0.31685,-1.32828,1.93886,-0.84732,-0.30172,1.63088,0.19268,-0.52593,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.49788,0,-0.05921,0.24923,-0.31685,0.62967,2.57309,-0.97631,0.76096,1.13407,-1.37983,-1.54858,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.82213,0,-0.05921,0.24923,-0.31685,-0.79151,0.80523,-0.01928,0.94156,3.46436,-0.71126,-0.84637,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.82213,0,-0.05921,0.96082,-0.31685,-0.92104,1.45421,0.44585,-0.60633,1.63088,1.29221,0.7654,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1.09449,1,0.45468,0.96082,-0.31685,0.41667,-0.94779,-0.84732,1.11406,-0.89891,-0.71126,0.07987,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.49788,0,1.16365,0.96082,-0.31685,0.04257,-1.50796,-0.71727,0.28783,1.30612,0.19268,-0.52593,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,-0.95197,1,0.45468,0.96082,-0.31685,0.41667,-0.30033,0.29338,1.2861,-0.14277,-0.71126,-1.54858,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2.59171,1,-2.43591,0.96082,-0.31685,-0.24649,-0.80615,-2.63199,-0.30172,-0.78155,0.52975,-1.54858,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.49788,1,0.45468,0.96082,-0.31685,-0.24649,-0.57545,-0.17779,-0.01729,-1.5184,-0.21712,-0.21575,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.49788,0,0.45468,0.96082,-0.31685,0.82562,0.00332,1.06238,1.81866,-0.40581,-0.21712,-0.21575,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,-0.07854,1,0.45468,0.96082,0.1144,-1.05308,1.45421,0.44585,1.2861,0.93949,-0.21712,0.07987,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
46,-0.07854,0,0.45468,0.96082,-0.31685,-0.46725,0.47617,1.24033,0.94156,1.63088,-1.37983,-2.07848,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1.09449,1,1.16365,0.96082,-0.31685,-2.05048,0.80523,0.29338,0.94156,1.13407,-2.55524,-1.18084,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,-0.07854,0,1.16365,0.96082,-0.22166,0.82562,-0.57545,-1.97495,-0.91699,0.25953,0.52975,1.2247,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1.82213,0,0.45468,0.96082,-0.31685,-0.14882,0.00332,-1.42424,0.28783,-0.78155,0.52975,-1.54858,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1.82213,0,-0.05921,0.96082,-0.31685,0.04257,-0.69509,-1.11902,-0.45321,-0.40581,-1.37983,-2.07848,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.49788,0,-0.61113,0.96082,-0.31685,0.04257,0.00332,-1.68062,-0.01729,0.25953,-1.37983,-1.54858,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,-0.07854,0,0.45468,0.96082,-0.31685,-0.58016,0.63779,-1.97495,0.28783,0.7583,-0.71126,-0.52593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1.09449,1,0.45468,0.96082,-0.31685,-0.46725,-1.23177,-1.27553,-1.6209,-0.14277,-1.37983,-1.54858,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,-0.07854,1,0.45468,0.96082,-0.31685,-0.58016,-1.37639,-1.82919,-1.34289,0.41594,-1.37983,-1.18084,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1.09449,1,0.45468,0.96082,-0.31685,1.02119,-0.30033,-0.71727,-0.60633,-0.00665,-1.37983,-1.18084,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1.09449,1,-1.7379,0.96082,-0.31685,-1.05308,-0.69509,-1.11902,1.2861,0.41594,-0.71126,-1.18084,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1.09449,0,-1.22751,0.24923,-0.31685,-0.46725,1.11406,-0.31776,1.11406,0.12331,-2.55524,-0.84637,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1.09449,1,-0.05921,0.96082,-0.31685,-0.67825,-0.57545,-0.31776,0.28783,1.13407,-0.71126,-0.21575,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2.59171,0,-1.7379,0.96082,-0.31685,-1.1943,-1.7625,-2.8595,-1.47955,0.25953,0.52975,-2.07848,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
76,-0.07854,1,0.45468,0.96082,-0.31685,-0.14882,0.16767,-1.55521,-0.76096,-0.40581,0.52975,-0.21575,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1.09449,0,-1.43719,0.24923,-0.31685,-0.34799,-0.69509,-1.55521,0.43852,0.58489,-2.55524,-2.07848,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.49788,1,-0.05921,0.96082,-0.31685,-0.34799,-0.80615,-1.97495,1.11406,-0.65253,-0.21712,-0.21575,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1.82213,1,1.16365,0.24923,-0.31685,-2.05048,1.45421,-0.97631,0.59042,1.46191,-0.21712,-1.18084,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
