RecordNumber,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Cannabis,Nicotine,Amphet,Amyl,Benzos,Cocaine,Crack,Ecstasy,Heroin,Ketamine,LSD,Meth,Mushrooms,Semeron,VolatileSubstance
30,1.09449,1,1.98437,0.96082,-0.31685,-1.32828,1.74091,0.88309,0.94156,1.81175,-0.21712,-0.52593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,-0.07854,1,1.16365,0.96082,-0.50212,-1.43907,0.47617,1.06238,-0.45321,1.13407,-1.37983,-0.84637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,0.49788,0,-0.05921,0.96082,-1.10702,-0.92104,0.96248,-0.84732,1.45039,0.93949,-1.37983,-1.54858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,2.59171,0,-1.7379,0.96082,-0.31685,0.82562,-0.80615,0.14143,-0.15487,1.13407,-0.21712,-0.52593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,0.49788,0,0.45468,0.96082,-0.50212,-1.05308,0.47617,-0.17779,-0.15487,0.58489,-1.37983,-1.18084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,-0.07854,1,1.16365,-0.28519,-0.31685,0.82562,-0.94779,0.58331,0.59042,0.7583,0.52975,-0.21575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,-0.07854,1,0.45468,0.96082,-1.10702,-1.32828,0.32197,-0.58331,-1.34289,2.04506,-0.71126,0.07987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1281,-0.95197,1,0.45468,0.96082,-0.50212,0.82562,0.63779,-0.84732,-2.21844,0.93949,1.86203,1.92173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1388,-0.07854,0,1.98437,-0.57009,-0.31685,0.52135,0.32197,1.65653,-0.60633,-0.65253,-0.21712,-0.52593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1418,-0.95197,0,0.45468,0.96082,-0.50212,0.91093,-0.69509,-0.71727,0.28783,-0.00665,-0.71126,-0.52593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,-0.95197,0,1.16365,0.96082,-0.50212,-0.58016,0.16767,-0.84732,0.59042,0.7583,-0.21712,-0.21575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,-0.07854,0,0.45468,0.96082,-0.50212,-0.24649,2.127,-2.21069,-0.91699,-0.14277,1.29221,-0.21575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721,-0.07854,0,0.45468,0.96082,-0.31685,0.41667,1.11406,-1.11902,2.46262,1.30612,-1.37983,-1.54858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1747,0.49788,0,1.16365,0.96082,-1.10702,-0.24649,-0.57545,-0.58331,0.13136,0.12331,-0.21712,-1.18084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
